flightid,callsign,receivetime,packettime,altitude_ft,altitude_m,vert_rate_ftmin,elapsed_secs,flight_phase,position_packet,info,raw,bearing,speed_mph,speed_kph,latitude,longitude,distance_from_launch_mi,distance_from_launch_km,temperature_f,temperature_c,temperature_k,pressure_pa,pressure_atm,airdensity_slugs,airdensity_kgm3,velocity_x_degs,velocity_y_degs,velocity_z_fts,velocity_z_ms,airflow,acceleration_fts2,velocity_mean_fts,acceleration_mean_fts2,velocity_std_fts,acceleration_std_fts2,velocity_norm_fts,acceleration_norm_fts2,velocity_curvefit_fts,acceleration_ms2,velocity_mean_ms,acceleration_mean_ms2,velocity_std_ms,acceleration_std_ms2,velocity_norm_ms,acceleration_norm_ms2,velocity_curvefit_ms,reynolds_transition
EOSS-300,KC0D-3,2020-07-11T08:18:19.134,2020-07-11T14:18:15.000,4995.0,1522.48,46.0,0.0,ascending,true,/141815h4038.93N/10423.06WO164/000/A=004995 231T8534P EOSS QUAL PAYLOAD,"KC0D-3>APZEOS,EOSS,qAO,N2XGL-12:/141815h4038.93N/10423.06WO164/000/A=004995 231T8534P EOSS QUAL PAYLOAD",164.0,0.0,0.0,40.648833333333336,-104.38433333333333,0.0,0.0,73.58,23.1,296.25,85340.0,0.84,0.0019472,1.00354472,0.0,0.0,0.76666667,0.23366667,high Re,,0.766667,,,,,,0.150681,,0.233667,,,,,,0.267751,""
EOSS-300,KC0D-1,2020-07-11T08:18:52.561,2020-07-11T14:18:45.000,5109.0,1557.22,272.0,30.0,ascending,true,/141845h4038.89N/10423.09WO204/030!W96!/A=005109 398T8530P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,N2XGL-12:/141845h4038.89N/10423.09WO204/030!W96!/A=005109 398T8530P EOSS BALLOON",204.0,35.0,56.3,40.648316666666666,-104.38493333333334,0.05,0.08,103.64,39.8,312.95,85300.0,0.84,0.00184243,0.94954713,-0.00001444,-0.00002556,4.53333333,1.38166667,high Re,0.125556,2.65,0.125556,2.663436,,0.707107,,3.87947,0.038267,0.807667,0.038267,0.811759,,0.707106,,1.271139,""
EOSS-300,AE0SS-13,2020-07-11T08:19:12.669,2020-07-11T14:19:11.000,5381.0,1640.13,400.0,56.0,ascending,true,/141911h4038.74N/10423.17WO214/024EOSS Baloon/A=005381!W56!,"AE0SS-13>APTT4,EOSS,qAR,KD8YQL-10:/141911h4038.74N/10423.17WO214/024EOSS Baloon/A=005381!W56!",214.0,28.0,45.1,40.64575,-104.38626666666667,0.24,0.39,,,,,,,,-0.00003,-0.00005056,6.66666667,2.032,high Re,0.035556,3.988889,0.080556,2.987443,0.06364,0.896344,-0.707102,10.336577,0.010839,1.215778,0.024553,0.910571,0.019395,0.896385,-0.707089,2.437846,""
EOSS-300,KC0D-1,2020-07-11T08:19:18.541,2020-07-11T14:19:15.000,5553.0,1692.55,888.0,60.0,ascending,true,/141915h4038.72N/10423.18WO209/018!W86!/A=005553 403T8398P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,N2XGL-12:/141915h4038.72N/10423.18WO209/018!W86!/A=005553 403T8398P EOSS BALLOON",209.0,21.0,33.8,40.645466666666664,-104.38643333333334,0.26,0.42,104.54,40.3,313.45,83980.0,0.83,0.00181102,0.93336185,-0.00005,-0.000095,14.8,4.511,high Re,0.271111,6.691667,0.144074,5.930422,0.118864,1.367244,1.068759,12.981196,0.082633,2.039583,0.043913,1.80759,0.036228,1.367244,1.068787,3.950972,""
EOSS-300,AE0SS-13,2020-07-11T08:19:42.689,2020-07-11T14:19:41.000,5883.0,1793.14,1004.0,86.0,ascending,true,/141941h4038.59N/10423.27WO210/017EOSS Baloon/A=005883!W08!,"AE0SS-13>APTT4,EOSS,qAO,N2XGL-12:/141941h4038.59N/10423.27WO210/017EOSS Baloon/A=005883!W08!",210.0,20.0,32.2,40.643166666666666,-104.38796666666667,0.44,0.71,,,,,,,,-0.00005667,-0.00008611,16.73333333,5.10033333,high Re,0.064444,8.7,0.124167,6.822349,0.104902,1.177503,-0.569322,15.80104,0.019644,2.651733,0.037846,2.079465,0.031973,1.177515,-0.569293,5.391956,""
EOSS-300,KC0D-1,2020-07-11T08:19:47.079,2020-07-11T14:19:45.000,6048.0,1843.43,990.0,90.0,ascending,true,/141945h4038.57N/10423.29WO211/013!W73!/A=006048 406T8251P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,N2XGL-12:/141945h4038.57N/10423.29WO211/013!W73!/A=006048 406T8251P EOSS BALLOON",211.0,15.0,24.1,40.64295,-104.38821666666666,0.45,0.72,105.08,40.6,313.75,82510.0,0.81,0.00177762,0.91614729,-0.00005944,-0.00008389,16.5,5.02933333,high Re,-0.007778,10.0,0.097778,6.88299,0.108329,0.944357,-0.974402,16.407037,-0.002367,3.048,0.029803,2.097976,0.033017,0.944402,-0.974347,5.195328,""
EOSS-300,AE0SS-13,2020-07-11T08:20:12.629,2020-07-11T14:20:11.000,6398.0,1950.11,1030.0,116.0,ascending,true,/142011h4038.52N/10423.31WO165/001EOSS Baloon/A=006398!W93!,"AE0SS-13>APTT4,EOSS,qAR,KD8YQL-10:/142011h4038.52N/10423.31WO165/001EOSS Baloon/A=006398!W93!",165.0,1.0,1.6,40.64215,-104.38855,0.51,0.82,,,,,,,,-0.00001944,-0.00003389,17.16666667,5.23233333,high Re,0.022222,11.02381,0.085185,6.84229,0.101684,0.897778,-0.619203,16.609757,0.006767,3.360048,0.025964,2.085554,0.030992,0.89774,-0.619418,4.623354,""
EOSS-300,KC0D-1,2020-07-11T08:20:16.853,2020-07-11T14:20:15.000,6565.0,2001.01,1034.0,120.0,ascending,true,/142015h4038.52N/10423.30WO157/007!W17!/A=006565 408T8102P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,qAO,W0ARP-1:/142015h4038.52N/10423.30WO157/007!W17!/A=006565 408T8102P EOSS BALLOON",157.0,8.0,12.9,40.64201666666667,-104.38845,0.52,0.84,105.44,40.8,313.95,81020.0,0.8,0.00174441,0.89903003,-7.78e-6,-0.00003111,17.23333333,5.25266667,high Re,0.002222,11.8,0.073333,6.70437,0.097978,0.810417,-0.725785,16.396088,0.000678,3.596625,0.022352,2.043508,0.029863,0.810392,-0.725781,4.70991,""
EOSS-300,KC0D-3,2020-07-11T08:20:19.146,2020-07-11T14:20:15.000,6525.0,1988.82,765.0,120.0,ascending,true,/142015h4038.52N/10423.30WO157/007/A=006525 229T8083P EOSS QUAL PAYLOAD,"KC0D-3>APZEOS,EOSS,qAO,N2XGL-12:/142015h4038.52N/10423.30WO157/007/A=006525 229T8083P EOSS QUAL PAYLOAD",157.0,8.0,12.9,40.642,-104.38833333333334,0.52,0.84,73.22,22.9,296.05,80830.0,0.8,0.00184554,0.95115208,-0.00003333,-0.00005694,12.75,3.88616667,high Re,-0.037361,11.905556,0.059496,6.279353,0.098792,0.134479,-0.980413,16.458384,-0.011387,3.628796,0.018134,1.913962,0.030111,0.13447,-0.980406,4.667929,""
EOSS-300,AE0SS-13,2020-07-11T08:20:42.733,2020-07-11T14:20:41.000,6900.0,2103.12,1004.0,146.0,ascending,true,/142041h4038.49N/10423.26WO119/005EOSS Baloon/A=006900!W16!,"AE0SS-13>APTT4,EOSS,qAO,N2XGL-12:/142041h4038.49N/10423.26WO119/005EOSS Baloon/A=006900!W16!",119.0,6.0,9.7,40.64151666666667,-104.38776666666666,0.54,0.87,,,,,,,,0.00002611,-0.00002111,16.73333333,5.10033333,high Re,0.132778,12.388333,0.067639,6.113909,0.095585,0.710675,0.681477,15.740503,0.040472,3.77595,0.020616,1.863535,0.029134,0.710683,0.68154,5.211564,""
