flightid,callsign,receivetime,packettime,altitude_ft,altitude_m,vert_rate_ftmin,elapsed_secs,flight_phase,position_packet,info,raw,bearing,speed_mph,speed_kph,latitude,longitude,distance_from_launch_mi,distance_from_launch_km,temperature_f,temperature_c,temperature_k,pressure_pa,pressure_atm,airdensity_slugs,airdensity_kgm3,velocity_x_degs,velocity_y_degs,velocity_z_fts,velocity_z_ms,airflow,acceleration_fts2,velocity_mean_fts,acceleration_mean_fts2,velocity_std_fts,acceleration_std_fts2,velocity_norm_fts,acceleration_norm_fts2,velocity_curvefit_fts,acceleration_ms2,velocity_mean_ms,acceleration_mean_ms2,velocity_std_ms,acceleration_std_ms2,velocity_norm_ms,acceleration_norm_ms2,velocity_curvefit_ms,reynolds_transition
EOSS-301,KC0D-14,2020-08-01T06:46:17.119,2020-08-01T12:46:15.000,5147.0,1568.81,-148.0,0.0,ascending,true,/124615h3936.55N/10402.54WO001/006/A=005147 349T8429P EOSS BALLOON,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,N2XGL-12:/124615h3936.55N/10402.54WO001/006/A=005147 349T8429P EOSS BALLOON",1.0,7.0,11.3,39.60916666666667,-104.04233333333333,0.0,0.0,94.82,34.9,308.05,84290.0,0.83,0.00184957,0.95322909,-5.56e-6,0.00002222,-2.46666667,-0.75166667,low Re,,-2.466667,,,,,,6.516208,,-0.751667,,,,,,1.986219,""
EOSS-301,AE0SS-12,2020-08-01T06:46:28.717,2020-08-01T12:46:27.000,5385.0,1641.35,336.0,12.0,ascending,true,/124627h3936.54N/10402.52WO064/007EOSS Balloon  www.eoss.org/A=005385!W60!,"AE0SS-12>APTT4,EOSS,qAR,KD8YQL-10:/124627h3936.54N/10402.52WO064/007EOSS Balloon  www.eoss.org/A=005385!W60!",64.0,8.0,12.9,39.609100000000005,-104.042,0.02,0.03,,,,,,,,3.33e-6,0.00002833,5.6,1.707,low Re,0.268889,1.566667,0.268889,5.703995,,0.707107,,7.901553,0.081956,0.477667,0.081956,1.73854,,0.707107,,2.408442,""
EOSS-301,KC0D-3,2020-08-01T06:46:49.805,2020-08-01T12:46:45.000,5640.0,1719.07,780.0,30.0,ascending,true,/124645h3936.56N/10402.46WO078/009/A=005640 182T8322P EOSS QUAL PAYLOAD,"KC0D-3>APZEOS,EOSS,qAO,N6BA-10:/124645h3936.56N/10402.46WO078/009/A=005640 182T8322P EOSS QUAL PAYLOAD",78.0,10.0,16.1,39.60933333333333,-104.041,0.07,0.11,64.76,18.2,291.35,83220.0,0.82,0.00193076,0.99507345,0.00003889,0.00002222,13.0,3.96233333,low Re,0.246667,5.377778,0.257778,7.735728,0.015713,0.985327,-0.707121,9.11453,0.075178,1.639222,0.078567,2.357731,0.004793,0.985317,-0.707073,2.778127,""
EOSS-301,KC0D-14,2020-08-01T06:46:47.042,2020-08-01T12:46:45.000,5739.0,1749.25,1184.0,30.0,ascending,true,/124645h3936.56N/10402.46WO077/009/A=005739 349T8319P EOSS BALLOON,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,N2XGL-12:/124645h3936.56N/10402.46WO077/009/A=005739 349T8319P EOSS BALLOON",77.0,10.0,16.1,39.60933333333333,-104.041,0.07,0.11,94.82,34.9,308.05,83190.0,0.82,0.00182543,0.94078928,0.00004444,5.56e-6,19.73333333,6.01466667,low Re,0.224444,8.966667,0.246667,9.561109,0.022223,1.12609,-1.0,9.518283,0.068411,2.733083,0.075182,2.914114,0.006773,1.1261,-0.999705,2.901206,""
EOSS-301,AE0SS-12,2020-08-01T06:46:58.788,2020-08-01T12:46:57.000,5755.0,1754.12,740.0,42.0,ascending,true,/124657h3936.56N/10402.43WO069/005EOSS Balloon  www.eoss.org/A=005755!W55!,"AE0SS-12>APTT4,EOSS,qAR,KD8YQL-10:/124657h3936.56N/10402.43WO069/005EOSS Balloon  www.eoss.org/A=005755!W55!",69.0,6.0,9.7,39.60941666666667,-104.04058333333333,0.09,0.14,,,,,,,,0.00004722,0.00001056,12.33333333,3.759,low Re,-0.246667,9.64,0.123333,8.415937,0.247333,0.320028,-1.495959,9.58027,-0.075189,2.938267,0.037589,2.565062,0.075388,0.319966,-1.495968,2.920073,""
EOSS-301,KC0D-3,2020-08-01T06:47:17.602,2020-08-01T12:47:15.000,5996.0,1827.58,712.0,60.0,ascending,true,/124715h3936.56N/10402.41WO075/001/A=005996 206T8218P EOSS QUAL PAYLOAD,"KC0D-3>APZEOS,EOSS,qAO,N6BA-10:/124715h3936.56N/10402.41WO075/001/A=005996 206T8218P EOSS QUAL PAYLOAD",75.0,1.0,1.6,39.60933333333333,-104.04016666666666,0.12,0.19,69.08,20.6,293.75,82180.0,0.81,0.00189105,0.97460966,0.00002778,0.0,11.86666667,3.617,low Re,-0.015556,10.011111,0.095555,7.582133,0.223021,0.244727,-0.498209,10.411882,-0.004733,3.051389,0.029125,2.310934,0.067976,0.244754,-0.498088,3.173553,""
EOSS-301,AE0SS-12,2020-08-01T06:47:28.681,2020-08-01T12:47:27.000,6113.0,1863.24,716.0,72.0,ascending,true,/124727h3936.56N/10402.41WO082/001EOSS Balloon  www.eoss.org/A=006113!W70!,"AE0SS-12>APTT4,EOSS,qAO,N6BA-10:/124727h3936.56N/10402.41WO082/001EOSS Balloon  www.eoss.org/A=006113!W70!",82.0,1.0,1.6,39.609449999999995,-104.04016666666666,0.12,0.19,,,,,,,,0.00001389,1.11e-6,11.93333333,3.63733333,low Re,0.002222,10.285714,0.08,6.959535,0.203083,0.236743,-0.382986,10.751899,0.000678,3.135095,0.024384,2.121177,0.061899,0.236773,-0.382979,3.277183,""
EOSS-301,KC0D-3,2020-08-01T06:47:49.833,2020-08-01T12:47:45.000,6340.0,1932.43,688.0,90.0,ascending,true,/124745h3936.57N/10402.40WO029/001/A=006340 207T8117P EOSS QUAL PAYLOAD,"KC0D-3>APZEOS,EOSS,qAO,N6BA-10:/124745h3936.57N/10402.40WO029/001/A=006340 207T8117P EOSS QUAL PAYLOAD",29.0,1.0,1.6,39.6095,-104.04,0.13,0.21,69.26,20.7,293.85,81170.0,0.8,0.00186718,0.96230402,5.56e-6,5.56e-6,11.46666667,3.495,low Re,-0.015556,10.433333,0.066349,6.456792,0.188874,0.160038,-0.433649,11.307294,-0.004744,3.180083,0.020222,1.967947,0.057568,0.160023,-0.433678,3.446464,""
EOSS-301,AE0SS-12,2020-08-01T06:47:58.611,2020-08-01T12:47:57.000,6448.0,1965.35,670.0,102.0,ascending,true,/124757h3936.57N/10402.39WO053/003EOSS Balloon  www.eoss.org/A=006448!W69!,"AE0SS-12>APTT4,EOSS,qAR,KD8YQL-10:/124757h3936.57N/10402.39WO053/003EOSS Balloon  www.eoss.org/A=006448!W69!",53.0,3.0,4.8,39.6096,-104.03998333333334,0.13,0.21,,,,,,,,6.11e-6,5e-6,11.16666667,3.40366667,low Re,-0.01,10.514815,0.056805,6.04472,0.176934,0.107838,-0.37757,11.527996,-0.003044,3.204926,0.017314,1.842354,0.053929,0.107873,-0.377496,3.513735,""
EOSS-301,KC0D-3,2020-08-01T06:48:17.580,2020-08-01T12:48:15.000,6684.0,2037.28,688.0,120.0,ascending,true,/124815h3936.58N/10402.37WO067/003/A=006684 196T8018P EOSS QUAL PAYLOAD,"KC0D-3>APZEOS,EOSS,qAO,N6BA-10:/124815h3936.58N/10402.37WO067/003/A=006684 196T8018P EOSS QUAL PAYLOAD",67.0,3.0,4.8,39.60966666666667,-104.0395,0.15,0.24,67.28,19.6,292.75,80180.0,0.79,0.00185134,0.95413889,0.00001667,5.56e-6,11.46666667,3.495,low Re,0.01,10.61,0.051605,5.70696,0.16624,0.150109,-0.250271,11.92508,0.003044,3.233933,0.015729,1.739408,0.05067,0.15009,-0.250345,3.634759,""
