flightid,callsign,receivetime,packettime,altitude_ft,altitude_m,vert_rate_ftmin,elapsed_secs,flight_phase,position_packet,info,raw,bearing,speed_mph,speed_kph,latitude,longitude,distance_from_launch_mi,distance_from_launch_km,temperature_f,temperature_c,temperature_k,pressure_pa,pressure_atm,airdensity_slugs,airdensity_kgm3,velocity_x_degs,velocity_y_degs,velocity_z_fts,velocity_z_ms,airflow,acceleration_fts2,velocity_mean_fts,acceleration_mean_fts2,velocity_std_fts,acceleration_std_fts2,velocity_norm_fts,acceleration_norm_fts2,velocity_curvefit_fts,acceleration_ms2,velocity_mean_ms,acceleration_mean_ms2,velocity_std_ms,acceleration_std_ms2,velocity_norm_ms,acceleration_norm_ms2,velocity_curvefit_ms,reynolds_transition
EOSS-359,AE0SS-3,2024-05-04T07:11:33.650,2024-05-04T13:11:31.000,5242.0,1597.76,0.0,0.0,ascending,true,/131131h3936.49N/10402.53WO306/000/A=005242 12T8440P EOSS BALLOON,"AE0SS-3>APZEOS,EOSS,WIDE2-1,qAO,AE0SS-9:/131131h3936.49N/10402.53WO306/000/A=005242 12T8440P EOSS BALLOON",306.0,0.0,0.0,39.60816666666667,-104.04216666666666,0.0,0.0,34.16,1.2,274.35,84400.0,0.83,0.00207947,1.07171653,0.0,0.0,0.0,0.0,high Re,,0.0,,,,,,10.86858,,0.0,,,,,,1.769725,""
EOSS-359,AE0SS-1,2024-05-04T07:12:05.066,2024-05-04T13:12:00.000,5447.0,1660.25,488.0,29.0,ascending,true,/131200h3936.49N/10402.52WO354/007/A=005447 16T8378P EOSS BALLOON,"AE0SS-1>APZEOS,EOSS,WIDE2-1,qAO,AE0SS-10:/131200h3936.49N/10402.52WO354/007/A=005447 16T8378P EOSS BALLOON",354.0,8.0,12.9,39.60816666666667,-104.042,0.01,0.02,34.88,1.6,274.75,83780.0,0.83,0.00206119,1.06229492,5.56e-6,0.0,8.13333333,2.47933333,high Re,0.271111,4.066667,0.271111,5.751135,,0.707107,,11.820989,0.082644,1.239667,0.082644,1.753153,,0.707107,,2.555477,""
EOSS-359,KC0D-1,2024-05-04T07:12:01.956,2024-05-04T13:12:00.000,5519.0,1682.19,584.0,29.0,ascending,true,/131200h3936.50N/10402.53WO359/006/A=005519 206T8375P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,AE0SS-9:/131200h3936.50N/10402.53WO359/006/A=005519 206T8375P EOSS BALLOON",359.0,7.0,11.3,39.608333333333334,-104.04216666666666,0.01,0.02,69.08,20.6,293.75,83750.0,0.83,0.00192718,0.99322899,0.0,0.00001111,9.73333333,2.96666667,high Re,0.053333,5.955556,0.162222,5.219337,0.153992,0.723804,-0.707108,12.141194,0.016244,1.815333,0.049444,1.590896,0.046952,0.723701,-0.707105,2.807398,""
EOSS-359,AE0SS-1,2024-05-04T07:12:32.558,2024-05-04T13:12:30.000,6014.0,1833.07,1134.0,59.0,ascending,true,/131230h3936.52N/10402.53WO313/007/A=006014 15T8197P EOSS BALLOON,"AE0SS-1>APZEOS,EOSS,WIDE2-1,qAO,AE0SS-10:/131230h3936.52N/10402.53WO313/007/A=006014 15T8197P EOSS BALLOON",313.0,8.0,12.9,39.608666666666664,-104.04216666666666,0.03,0.05,34.7,1.5,274.65,81970.0,0.81,0.0020174,1.03972331,-5.56e-6,0.00001667,18.9,5.76066667,high Re,0.305556,9.191667,0.21,7.749235,0.136766,1.252812,0.698682,14.152957,0.093133,2.801667,0.064007,2.36193,0.041695,1.252789,0.698549,4.242793,""
EOSS-359,KC0D-1,2024-05-04T07:12:31.914,2024-05-04T13:12:30.000,6097.0,1858.37,1156.0,59.0,ascending,true,/131230h3936.53N/10402.53WO309/007/A=006097 206T8192P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,AE0SS-9:/131230h3936.53N/10402.53WO309/007/A=006097 206T8192P EOSS BALLOON",309.0,8.0,12.9,39.60883333333334,-104.04216666666666,0.05,0.08,69.08,20.6,293.75,81920.0,0.81,0.00188507,0.9715262,0.0,0.00001667,19.26666667,5.87266667,high Re,0.012222,11.206667,0.160556,8.083261,0.149161,0.997122,-0.994456,14.459472,0.003733,3.415867,0.048938,2.463786,0.045467,0.997164,-0.994238,4.438023,""
EOSS-359,AE0SS-3,2024-05-04T07:12:35.226,2024-05-04T13:12:31.000,6019.0,1834.59,777.0,60.0,ascending,true,/131231h3936.53N/10402.53WO308/007/A=006019 2T8189P EOSS BALLOON,"AE0SS-3>APZEOS,EOSS,WIDE2-1,qAO,AE0SS-9:/131231h3936.53N/10402.53WO308/007/A=006019 2T8189P EOSS BALLOON",308.0,8.0,12.9,39.60883333333334,-104.04216666666666,0.05,0.08,32.36,0.2,273.35,81890.0,0.81,0.00202501,1.04364847,0.0,0.00001111,12.95,3.94716667,high Re,-0.105278,11.497222,0.107389,7.264835,0.175557,0.199974,-1.211384,14.171662,-0.032092,3.504417,0.032732,2.214326,0.053513,0.199948,-1.211369,4.25486,""
EOSS-359,AE0SS-1,2024-05-04T07:13:04.952,2024-05-04T13:13:00.000,6605.0,2013.2,1182.0,89.0,ascending,true,/131300h3936.56N/10402.63WO294/014/A=006605 15T8020P EOSS BALLOON,"AE0SS-1>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/131300h3936.56N/10402.63WO294/014/A=006605 15T8020P EOSS BALLOON",294.0,16.0,25.7,39.60933333333333,-104.04383333333334,0.12,0.19,34.7,1.5,274.65,80200.0,0.79,0.00197383,1.01727229,-0.00005556,0.00002222,19.7,6.00433333,high Re,0.225,12.669048,0.126991,7.320775,0.1642,0.960411,0.596888,16.158658,0.068572,3.861548,0.038706,2.23133,0.05005,0.960318,0.596723,5.397959,""
EOSS-359,KC0D-1,2024-05-04T07:13:01.987,2024-05-04T13:13:00.000,6671.0,2033.32,1148.0,89.0,ascending,true,/131300h3936.56N/10402.63WO293/014/A=006671 205T8016P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,AE0SS-9:/131300h3936.56N/10402.63WO293/014/A=006671 205T8016P EOSS BALLOON",293.0,16.0,25.7,39.60933333333333,-104.04383333333334,0.12,0.19,68.9,20.5,293.65,80160.0,0.79,0.0018452,0.9509773,-0.00005556,0.00001667,19.13333333,5.83166667,high Re,-0.018889,13.477083,0.106151,7.152683,0.159713,0.790787,-0.782904,16.358265,-0.005756,4.107813,0.032354,2.180078,0.048681,0.79073,-0.782852,5.496433,""
EOSS-359,AE0SS-3,2024-05-04T07:13:02.688,2024-05-04T13:13:01.000,6597.0,2010.77,1156.0,90.0,ascending,true,/131301h3936.56N/10402.63WO293/015/A=006597 11T8012P EOSS BALLOON,"AE0SS-3>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/131301h3936.56N/10402.63WO293/015/A=006597 11T8012P EOSS BALLOON",293.0,17.0,27.4,39.60933333333333,-104.04383333333334,0.12,0.19,33.98,1.1,274.25,80120.0,0.79,0.00197474,1.01773979,-0.00005556,0.00001667,19.26666667,5.87266667,high Re,0.004444,14.12037,0.093437,6.963485,0.152175,0.73904,-0.584807,16.134146,0.001367,4.303907,0.028481,2.122434,0.046383,0.739132,-0.584568,5.385694,""
EOSS-359,AE0SS-1,2024-05-04T07:13:32.422,2024-05-04T13:13:30.000,7155.0,2180.84,1100.0,119.0,ascending,true,/131330h3936.61N/10402.77WO295/012/A=007155 12T7849P EOSS BALLOON,"AE0SS-1>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/131330h3936.61N/10402.77WO295/012/A=007155 12T7849P EOSS BALLOON",295.0,14.0,22.5,39.610166666666665,-104.04616666666666,0.25,0.4,34.16,1.2,274.35,78490.0,0.77,0.00193386,0.99667098,-0.00007778,0.00002778,18.33333333,5.588,high Re,-0.031111,14.541667,0.079599,6.699048,0.148277,0.566001,-0.746643,17.685904,-0.009489,4.432317,0.024262,2.041835,0.045195,0.566002,-0.746786,6.067787,""
