flightid,callsign,receivetime,packettime,altitude_ft,altitude_m,vert_rate_ftmin,elapsed_secs,flight_phase,position_packet,info,raw,bearing,speed_mph,speed_kph,latitude,longitude,distance_from_launch_mi,distance_from_launch_km,temperature_f,temperature_c,temperature_k,pressure_pa,pressure_atm,airdensity_slugs,airdensity_kgm3,velocity_x_degs,velocity_y_degs,velocity_z_fts,velocity_z_ms,airflow,acceleration_fts2,velocity_mean_fts,acceleration_mean_fts2,velocity_std_fts,acceleration_std_fts2,velocity_norm_fts,acceleration_norm_fts2,velocity_curvefit_fts,acceleration_ms2,velocity_mean_ms,acceleration_mean_ms2,velocity_std_ms,acceleration_std_ms2,velocity_norm_ms,acceleration_norm_ms2,velocity_curvefit_ms,reynolds_transition
EOSS-380,KC0D-1,2025-07-26T07:10:31.995,2025-07-26T13:10:30.000,5786.0,1763.57,406.0,0.0,ascending,true,/131030h3916.71N/10329.71WO048/015/A=005786 313T8262P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,K0SCC-8:/131030h3916.71N/10329.71WO048/015/A=005786 313T8262P EOSS BALLOON",48.0,17.0,27.4,39.2785,-103.49516666666666,0.0,0.0,88.34,31.3,304.45,82620.0,0.82,0.00183436,0.94539143,0.00001667,0.00001667,6.76666667,2.06233333,low Re,,6.766667,,,,,,9.949344,,2.062333,,,,,,3.03252,""
EOSS-380,KC0D-14,2025-07-26T07:10:31.969,2025-07-26T13:10:30.000,5725.0,1744.98,238.0,0.0,ascending,true,/131030h3916.71N/10329.72WO053/021/A=005725 318T8278P EOSS BALLOON,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,K0SCC-8:/131030h3916.71N/10329.72WO053/021/A=005725 318T8278P EOSS BALLOON",53.0,24.0,38.6,39.2785,-103.49533333333333,0.01,0.02,89.24,31.8,304.95,82780.0,0.82,0.0018349,0.94566918,0.0,0.00001111,3.96666667,1.209,low Re,-0.093333,5.366667,-0.093333,1.979899,,-0.707107,,8.99262,-0.028444,1.635667,-0.028444,0.603398,,-0.707107,,2.740953,""
EOSS-380,AE0SS-1,2025-07-26T07:10:31.734,2025-07-26T13:10:30.000,5717.0,1742.54,228.0,0.0,ascending,true,/131030h3916.71N/10329.71WO045/018/A=005717 176T8255P EOSS BALLOON,"AE0SS-1>APZEOS,EOSS,WIDE2-1,qAO,K0SCC-8:/131030h3916.71N/10329.71WO045/018/A=005717 176T8255P EOSS BALLOON",45.0,21.0,33.8,39.2785,-103.49516666666666,0.0,0.0,63.68,17.6,290.75,82550.0,0.81,0.00191917,0.98909909,5.56e-6,0.00001111,3.8,1.15833333,low Re,-0.005556,4.844444,-0.049445,1.666778,0.062068,-0.626625,0.707112,8.863997,-0.001689,1.476556,-0.015067,0.507931,0.018919,-0.626508,0.70712,2.701723,""
EOSS-380,AE0SS-3,2025-07-26T07:10:55.323,2025-07-26T13:10:50.000,6174.0,1881.84,1136.0,20.0,ascending,true,/131050h3916.76N/10329.66WO093/012/A=006174 249T8118P EOSS BALLOON,"AE0SS-3>APZEOS,EOSS,WIDE2-1,qAO,K0SCC-8:/131050h3916.76N/10329.66WO093/012/A=006174 249T8118P EOSS BALLOON",93.0,14.0,22.5,39.279333333333334,-103.49433333333333,0.07,0.11,76.82,24.9,298.05,81180.0,0.8,0.00184109,0.9488605,0.00002778,0.00003889,18.93333333,5.771,low Re,0.504444,8.366667,0.135185,7.174698,0.322785,1.472768,1.143978,15.119051,0.153756,2.550167,0.041208,2.186906,0.098383,1.472781,1.143978,4.608345,""
EOSS-380,KC0D-1,2025-07-26T07:11:02.004,2025-07-26T13:11:00.000,6482.0,1975.71,1392.0,30.0,ascending,true,/131100h3916.80N/10329.63WO048/011/A=006482 313T8064P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,K0SCC-8:/131100h3916.80N/10329.63WO048/011/A=006482 313T8064P EOSS BALLOON",48.0,13.0,20.9,39.28,-103.49383333333333,0.13,0.21,88.34,31.3,304.45,80640.0,0.8,0.0017904,0.92273499,0.00004444,0.00005,23.2,7.07133333,low Re,0.142222,11.333333,0.136944,9.089157,0.263577,1.305585,0.020025,18.244105,0.043344,3.4544,0.041742,2.770399,0.080337,1.305564,0.019941,5.560775,""
EOSS-380,KC0D-14,2025-07-26T07:11:01.990,2025-07-26T13:11:00.000,6412.0,1954.38,1374.0,30.0,ascending,true,/131100h3916.79N/10329.64WO038/019/A=006412 319T8077P EOSS BALLOON,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,K0SCC-8:/131100h3916.79N/10329.64WO038/019/A=006412 319T8077P EOSS BALLOON",38.0,22.0,35.4,39.279833333333336,-103.494,0.11,0.18,89.42,31.9,305.05,80770.0,0.8,0.00178976,0.92240469,0.00004444,0.00004444,22.9,6.98,low Re,-0.01,13.261111,0.107555,9.401499,0.237535,1.02525,-0.494895,17.601101,-0.003044,4.042,0.032785,2.865612,0.072399,1.025261,-0.494883,5.364842,""
EOSS-380,AE0SS-1,2025-07-26T07:11:04.220,2025-07-26T13:11:00.000,6417.0,1955.9,1400.0,30.0,ascending,true,/131100h3916.79N/10329.63WO044/012/A=006417 253T8059P EOSS BALLOON,"AE0SS-1>APZEOS,EOSS,WIDE2-1,qAO,K0SCC-8:/131100h3916.79N/10329.63WO044/012/A=006417 253T8059P EOSS BALLOON",44.0,14.0,22.5,39.279833333333336,-103.49383333333333,0.12,0.19,77.54,25.3,298.45,80590.0,0.8,0.00182526,0.9407019,0.00004444,0.00004444,23.33333333,7.112,low Re,0.014444,14.7,0.092037,9.388803,0.215832,0.919535,-0.359506,17.648279,0.0044,4.480571,0.028054,2.861734,0.065785,0.919523,-0.359565,5.379184,""
EOSS-380,AE0SS-3,2025-07-26T07:11:22.578,2025-07-26T13:11:20.000,6881.0,2097.33,1414.0,50.0,ascending,true,/131120h3916.85N/10329.55WO061/024/A=006881 253T7922P EOSS BALLOON,"AE0SS-3>APZEOS,EOSS*,WIDE2-1,qAO,AE0SS-10:/131120h3916.85N/10329.55WO061/024/A=006881 253T7922P EOSS BALLOON",61.0,28.0,45.1,39.280833333333334,-103.4925,0.22,0.35,77.54,25.3,298.45,79220.0,0.78,0.00179423,0.92471032,0.00006111,0.00005,23.56666667,7.183,low Re,0.007778,15.808333,0.08,9.240349,0.199584,0.839615,-0.361863,21.253191,0.002367,4.818375,0.024384,2.816466,0.060833,0.839572,-0.361925,6.477984,""
EOSS-380,KC0D-1,2025-07-26T07:11:32.006,2025-07-26T13:11:30.000,7188.0,2190.9,1412.0,60.0,ascending,true,/131130h3916.88N/10329.50WO056/014/A=007188 313T7868P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,K0SCC-8:/131130h3916.88N/10329.50WO056/014/A=007188 313T7868P EOSS BALLOON",56.0,16.0,25.7,39.281333333333336,-103.49166666666666,0.27,0.43,88.34,31.3,304.45,78680.0,0.78,0.00174688,0.9003074,0.00007222,0.00004444,23.53333333,7.173,low Re,-0.001111,16.666667,0.069861,9.018962,0.186991,0.761359,-0.379548,22.921026,-0.000333,5.08,0.021295,2.748991,0.056994,0.76137,-0.379479,6.986322,""
EOSS-380,KC0D-14,2025-07-26T07:11:31.991,2025-07-26T13:11:30.000,7115.0,2168.65,1406.0,60.0,ascending,true,/131130h3916.88N/10329.50WO080/019/A=007115 320T7880P EOSS BALLOON,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,K0SCC-8:/131130h3916.88N/10329.50WO080/019/A=007115 320T7880P EOSS BALLOON",80.0,22.0,35.4,39.281333333333336,-103.49166666666666,0.27,0.43,89.6,32.0,305.15,78800.0,0.78,0.00174554,0.89961211,0.00007778,0.00005,23.43333333,7.14233333,low Re,-0.003333,17.343333,0.061728,8.768266,0.176607,0.69455,-0.368394,22.568808,-0.001022,5.286233,0.018815,2.672566,0.053829,0.694501,-0.368519,6.878967,""
