flightid,callsign,receivetime,packettime,altitude_ft,altitude_m,vert_rate_ftmin,elapsed_secs,flight_phase,position_packet,info,raw,bearing,speed_mph,speed_kph,latitude,longitude,distance_from_launch_mi,distance_from_launch_km,temperature_f,temperature_c,temperature_k,pressure_pa,pressure_atm,airdensity_slugs,airdensity_kgm3,velocity_x_degs,velocity_y_degs,velocity_z_fts,velocity_z_ms,airflow,acceleration_fts2,velocity_mean_fts,acceleration_mean_fts2,velocity_std_fts,acceleration_std_fts2,velocity_norm_fts,acceleration_norm_fts2,velocity_curvefit_fts,acceleration_ms2,velocity_mean_ms,acceleration_mean_ms2,velocity_std_ms,acceleration_std_ms2,velocity_norm_ms,acceleration_norm_ms2,velocity_curvefit_ms,reynolds_transition
EOSS-371,KC0D-14,2025-04-06T07:21:02.165,2025-04-06T13:21:00.000,5231.0,1594.41,2.0,0.0,ascending,true,/132100h3936.49N/10402.53WO001/000/A=005231 151T8456P EOSS BALLOON,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,K0SCC-8:/132100h3936.49N/10402.53WO001/000/A=005231 151T8456P EOSS BALLOON",1.0,0.0,0.0,39.60816666666667,-104.04216666666666,0.0,0.0,59.18,15.1,288.25,84560.0,0.83,0.00198295,1.02196991,0.0,0.0,0.03333333,0.01033333,high Re,,0.033333,,,,,,6.938512,,0.010333,,,,,,1.772441,""
EOSS-371,KC0D-1,2025-04-06T07:21:02.098,2025-04-06T13:21:00.000,5211.0,1588.31,4.0,0.0,ascending,true,/132100h3936.48N/10402.54WO021/000/A=005211 147T8460P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,K0SCC-8:/132100h3936.48N/10402.54WO021/000/A=005211 147T8460P EOSS BALLOON",21.0,0.0,0.0,39.608,-104.04233333333333,0.01,0.02,58.46,14.7,287.85,84600.0,0.83,0.00198664,1.02387415,0.0,0.0,0.06666667,0.02033333,high Re,0.001111,0.05,0.001111,0.02357,,0.707114,,6.689628,0.000333,0.015333,0.000333,0.007071,,0.70716,,1.678223,""
EOSS-371,AE0SS-3,2025-04-06T07:21:26.180,2025-04-06T13:21:20.000,5418.0,1651.41,404.0,20.0,ascending,true,/132120h3936.50N/10402.52WO086/013/A=005418 -14T8361P EOSS BALLOON,"AE0SS-3>APZEOS,EOSS*,WIDE2-1,qAO,AE0SS-10:/132120h3936.50N/10402.52WO086/013/A=005418 -14T8361P EOSS BALLOON",86.0,15.0,24.1,39.608333333333334,-104.042,0.01,0.02,29.48,-1.4,271.75,83610.0,0.83,0.00207972,1.07184286,5.56e-6,0.00001111,6.73333333,2.05233333,high Re,0.222222,2.277778,0.111667,3.85866,0.156349,1.15469,0.707104,9.15467,0.067733,0.694333,0.034033,1.176073,0.047659,1.154691,0.707107,2.601679,""
EOSS-371,KC0D-14,2025-04-06T07:21:32.483,2025-04-06T13:21:30.000,5651.0,1722.42,840.0,30.0,ascending,true,/132130h3936.51N/10402.47WO110/019/A=005651 151T8318P EOSS BALLOON,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,K0SCC-8:/132130h3936.51N/10402.47WO110/019/A=005651 151T8318P EOSS BALLOON",110.0,22.0,35.4,39.6085,-104.04116666666667,0.06,0.1,59.18,15.1,288.25,83180.0,0.82,0.00195059,1.00529159,0.00003333,0.00001111,14.0,4.267,high Re,0.242222,5.208333,0.155185,6.654231,0.133806,1.321215,0.650472,11.64992,0.073822,1.5875,0.047296,2.028074,0.040785,1.321204,0.650386,3.513778,""
EOSS-371,KC0D-1,2025-04-06T07:21:32.831,2025-04-06T13:21:30.000,5709.0,1740.1,996.0,30.0,ascending,true,/132130h3936.52N/10402.47WO101/015/A=005709 146T8297P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,K0SCC-8:/132130h3936.52N/10402.47WO101/015/A=005709 146T8297P EOSS BALLOON",101.0,17.0,27.4,39.608666666666664,-104.04116666666667,0.06,0.1,58.28,14.6,287.75,82970.0,0.82,0.00194904,1.00449599,0.00003889,0.00002222,16.6,5.05966667,high Re,0.086667,7.486667,0.138056,7.691756,0.114498,1.184818,-0.44882,12.227761,0.026422,2.281933,0.042078,2.344355,0.034898,1.184861,-0.448622,3.721498,""
EOSS-371,AE0SS-3,2025-04-06T07:21:52.900,2025-04-06T13:21:50.000,6096.0,1858.06,1356.0,50.0,ascending,true,/132150h3936.48N/10402.40WO125/005/A=006096 33T8152P EOSS BALLOON,"AE0SS-3>APZEOS,EOSS*,WIDE2-1,qAO,AE0SS-10:/132150h3936.48N/10402.40WO125/005/A=006096 33T8152P EOSS BALLOON",125.0,6.0,9.7,39.608,-104.04,0.12,0.19,37.94,3.3,276.45,81520.0,0.8,0.00199326,1.02728282,0.00006667,-0.00001111,22.6,6.88833333,high Re,0.2,10.005556,0.150444,9.241174,0.102955,1.362862,0.481337,15.676956,0.060956,3.049667,0.045853,2.816609,0.03138,1.362868,0.481294,4.929658,""
EOSS-371,KC0D-14,2025-04-06T07:22:01.843,2025-04-06T13:22:00.000,6327.0,1928.47,1352.0,60.0,ascending,true,/132200h3936.48N/10402.39WO124/006/A=006327 151T8107P EOSS BALLOON,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/132200h3936.48N/10402.39WO124/006/A=006327 151T8107P EOSS BALLOON",124.0,7.0,11.3,39.608,-104.03983333333333,0.12,0.19,59.18,15.1,288.25,81070.0,0.8,0.00190111,0.97979068,0.00004444,-0.00001667,22.53333333,6.86833333,high Re,-0.002222,11.795238,0.125,9.674028,0.111195,1.109992,-1.144134,17.426264,-0.000667,3.59519,0.0381,2.948601,0.033889,1.110067,-1.143941,5.518604,""
EOSS-371,KC0D-1,2025-04-06T07:22:01.917,2025-04-06T13:22:00.000,6399.0,1950.42,1380.0,60.0,ascending,true,/132200h3936.48N/10402.38WO138/006/A=006399 147T8086P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/132200h3936.48N/10402.38WO138/006/A=006399 147T8086P EOSS BALLOON",138.0,7.0,11.3,39.608,-104.03966666666666,0.13,0.21,58.46,14.7,287.85,80860.0,0.8,0.00189882,0.97861068,0.00005,-0.00002222,23.0,7.01066667,high Re,0.015556,13.195833,0.109365,9.793397,0.109612,1.0011,-0.855828,17.92825,0.004744,4.022125,0.033335,2.985029,0.033406,1.001177,-0.855864,5.684196,""
EOSS-371,AE0SS-3,2025-04-06T07:22:25.019,2025-04-06T13:22:20.000,6772.0,2064.11,1352.0,80.0,ascending,true,/132220h3936.44N/10402.34WO145/007/A=006772 22T7944P EOSS BALLOON,"AE0SS-3>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/132220h3936.44N/10402.34WO145/007/A=006772 22T7944P EOSS BALLOON",145.0,8.0,12.9,39.60733333333334,-104.039,0.18,0.29,35.96,2.2,275.35,79440.0,0.78,0.00195016,1.00507068,0.00003333,-0.00002222,22.53333333,6.86833333,high Re,-0.015556,14.233333,0.09375,9.675197,0.110675,0.857864,-0.98763,20.227616,-0.004744,4.33837,0.028575,2.949016,0.033731,0.857901,-0.987786,6.419658,""
EOSS-371,KC0D-14,2025-04-06T07:22:31.834,2025-04-06T13:22:30.000,7022.0,2140.31,1390.0,90.0,ascending,true,/132230h3936.43N/10402.34WO160/009/A=007022 151T7898P EOSS BALLOON,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/132230h3936.43N/10402.34WO160/009/A=007022 151T7898P EOSS BALLOON",160.0,10.0,16.1,39.607166666666664,-104.039,0.18,0.29,59.18,15.1,288.25,78980.0,0.78,0.0018521,0.95453149,0.00002778,-0.00002778,23.16666667,7.06133333,high Re,0.021111,15.126667,0.085679,9.549285,0.106321,0.841948,-0.607293,21.511238,0.006433,4.610667,0.026115,2.910644,0.032404,0.841967,-0.607394,6.810912,""
EOSS-371,KC0D-1,2025-04-06T07:22:32.693,2025-04-06T13:22:30.000,7083.0,2158.9,1368.0,90.0,ascending,true,/132230h3936.42N/10402.33WO155/010/A=007083 148T7879P EOSS BALLOON,"KC0D-1>APZEOS,EOSS,WIDE2-1,qAO,K0SCC-8:/132230h3936.42N/10402.33WO155/010/A=007083 148T7879P EOSS BALLOON",155.0,12.0,19.3,39.607,-104.03883333333333,0.19,0.31,58.64,14.8,287.95,78790.0,0.78,0.00184957,0.95322729,0.00002778,-0.00003333,22.8,6.94933333,high Re,-0.012222,15.824242,0.075889,9.35001,0.104912,0.74607,-0.839856,21.795919,-0.003733,4.823273,0.02313,2.849891,0.031976,0.746015,-0.840099,6.895423,""
EOSS-371,AE0SS-3,2025-04-06T07:22:52.473,2025-04-06T13:22:50.000,7475.0,2278.38,1406.0,110.0,ascending,true,/132250h3936.37N/10402.32WO171/013/A=007475 8T7734P EOSS BALLOON,"AE0SS-3>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/132250h3936.37N/10402.32WO171/013/A=007475 8T7734P EOSS BALLOON",171.0,15.0,24.1,39.60616666666667,-104.03866666666667,0.23,0.37,33.44,0.8,273.95,77340.0,0.76,0.00190831,0.98350215,0.00001111,-0.00003889,23.43333333,7.14233333,high Re,0.021111,16.458333,0.070909,9.181505,0.10089,0.759679,-0.493587,23.383543,0.006433,5.016528,0.021612,2.798517,0.03075,0.759619,-0.493626,7.348592,""
EOSS-371,KC0D-14,2025-04-06T07:23:01.837,2025-04-06T13:23:00.000,7734.0,2357.32,1424.0,120.0,ascending,true,/132300h3936.34N/10402.31WO170/012/A=007734 151T7688P EOSS BALLOON,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/132300h3936.34N/10402.31WO170/012/A=007734 151T7688P EOSS BALLOON",170.0,14.0,22.5,39.605666666666664,-104.0385,0.26,0.42,59.18,15.1,288.25,76880.0,0.76,0.00180285,0.92915145,0.00001667,-0.00005,23.73333333,7.23366667,high Re,0.01,17.017949,0.065833,9.019214,0.097788,0.744564,-0.57096,24.225368,0.003044,5.187077,0.020065,2.749034,0.029805,0.744476,-0.571079,7.573349,""
