flightid,callsign,receivetime,packettime,altitude_ft,altitude_m,vert_rate_ftmin,elapsed_secs,flight_phase,position_packet,info,raw,bearing,speed_mph,speed_kph,latitude,longitude,distance_from_launch_mi,distance_from_launch_km,temperature_f,temperature_c,temperature_k,pressure_pa,pressure_atm,airdensity_slugs,airdensity_kgm3,velocity_x_degs,velocity_y_degs,velocity_z_fts,velocity_z_ms,airflow,acceleration_fts2,velocity_mean_fts,acceleration_mean_fts2,velocity_std_fts,acceleration_std_fts2,velocity_norm_fts,acceleration_norm_fts2,velocity_curvefit_fts,acceleration_ms2,velocity_mean_ms,acceleration_mean_ms2,velocity_std_ms,acceleration_std_ms2,velocity_norm_ms,acceleration_norm_ms2,velocity_curvefit_ms,reynolds_transition
EOSS-324,KE0BMV-11,2022-04-09T07:17:10.801,2022-04-09T13:16:43.000,5218.0,1590.45,0.0,0.0,ascending,true,/131643h3936.46N/10402.48WO316/000/A=005218 08.1V 101F HDOP01.0 SATS08 EOSS Balloon Beacon,"KE0BMV-11>APOT30,WIDE2-1,qAO,KC0L-10:/131643h3936.46N/10402.48WO316/000/A=005218 08.1V 101F HDOP01.0 SATS08 EOSS Balloon Beacon",316.0,0.0,0.0,39.60766666666667,-104.04133333333333,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,high Re,,0.0,,,,,,3.88667,,0.0,,,,,,1.184383,""
EOSS-324,KC0D-15,2022-04-09T07:16:46.855,2022-04-09T13:16:45.000,5255.0,1601.72,22.0,2.0,ascending,true,/131645h3936.47N/10402.48WO139/000/A=005255 EOSS BALLOON,"KC0D-15>APZEOS,EOSS,qAO,KC0L-10:/131645h3936.47N/10402.48WO139/000/A=005255 EOSS BALLOON",139.0,0.0,0.0,39.60783333333333,-104.04133333333333,0.01,0.02,,,,,,,,0.0,0.0,0.36666667,0.11166667,high Re,0.012222,0.183333,0.012222,0.259272,,0.707109,,4.446876,0.003722,0.055833,0.003722,0.07896,,0.707113,,1.355065,""
EOSS-324,KC0D-15,2022-04-09T07:17:16.501,2022-04-09T13:17:15.000,5691.0,1734.62,872.0,32.0,ascending,true,/131715h3936.53N/10402.40WO055/026/A=005691 EOSS BALLOON,"KC0D-15>APZEOS,EOSS,qAO,W0ARP-1:/131715h3936.53N/10402.40WO055/026/A=005691 EOSS BALLOON",55.0,30.0,48.3,39.60883333333334,-104.04,0.11,0.18,,,,,,,,0.00004444,0.00003333,14.53333333,4.43,high Re,0.472222,4.966667,0.242222,8.287005,0.325269,1.154418,0.707107,10.114831,0.143944,1.513889,0.073833,2.526043,0.099152,1.154419,0.707106,3.08317,""
EOSS-324,KE0BMV-11,2022-04-09T07:17:39.784,2022-04-09T13:17:26.000,5906.0,1800.15,960.0,43.0,ascending,true,/131726h3936.55N/10402.30WO079/028/A=005906 08.0V 95F HDOP00.9 SATS09 EOSS Balloon Beacon,"KE0BMV-11>APOT30,WIDE2-1,qAO,N2XGL-12:/131726h3936.55N/10402.30WO079/028/A=005906 08.0V 95F HDOP00.9 SATS09 EOSS Balloon Beacon",79.0,32.0,51.5,39.60916666666667,-104.03833333333333,0.19,0.31,,,,,,,,0.00006977,0.00003488,16.0,4.87674419,high Re,0.034109,7.725,0.172851,8.73021,0.259494,0.947858,-0.534664,12.343518,0.010389,2.354603,0.052685,2.661039,0.079103,0.947803,-0.534695,3.762587,""
EOSS-324,KC0D-15,2022-04-09T07:17:46.530,2022-04-09T13:17:45.000,6241.0,1902.26,1100.0,62.0,ascending,true,/131745h3936.54N/10402.15WO104/020/A=006241 EOSS BALLOON,"KC0D-15>APZEOS,EOSS,qAO,W0ARP-1:/131745h3936.54N/10402.15WO104/020/A=006241 EOSS BALLOON",104.0,23.0,37.0,39.609,-104.03583333333333,0.31,0.5,,,,,,,,0.00013889,5.56e-6,18.33333333,5.588,high Re,0.077778,9.846667,0.149083,8.925793,0.217143,0.950803,-0.328378,15.185648,0.023709,3.001282,0.045441,2.720628,0.066192,0.95078,-0.328318,4.629023,""
EOSS-324,KE0BMV-11,2022-04-09T07:18:09.779,2022-04-09T13:17:50.000,6363.0,1939.44,1142.5,67.0,ascending,true,/131750h3936.53N/10402.10WO101/024/A=006363 08.0V 94F HDOP00.9 SATS09 EOSS Balloon Beacon,"KE0BMV-11>APOT30,WIDE2-1,qAO,N6BA-10:/131750h3936.53N/10402.10WO101/024/A=006363 08.0V 94F HDOP00.9 SATS09 EOSS Balloon Beacon",101.0,28.0,45.1,39.60883333333334,-104.035,0.35,0.56,,,,,,,,0.00013889,-0.00001389,19.04166667,5.80375,high Re,0.029514,11.379167,0.125169,8.82197,0.195506,0.86857,-0.489269,16.051171,0.00899,3.46836,0.038151,2.688945,0.059597,0.868515,-0.489303,4.892828,""
EOSS-324,KE0BMV-11,2022-04-09T07:18:34.945,2022-04-09T13:17:52.000,6398.0,1950.11,1050.0,69.0,ascending,true,/131752h3936.53N/10402.09WO098/024/A=006398 08.1V 101F HDOP00.9 SATS09 EOSS Balloon Beacon,"KE0BMV-11>APOT30,WIDE2-1,qAO,N6BA-10:/131752h3936.53N/10402.09WO098/024/A=006398 08.1V 101F HDOP00.9 SATS09 EOSS Balloon Beacon",98.0,28.0,45.1,39.60883333333334,-104.03483333333334,0.36,0.58,,,,,,,,0.00008333,0.0,17.5,5.335,high Re,-0.770833,12.253571,-0.024165,8.379025,0.40544,0.626138,-1.841624,16.284198,-0.234375,3.735023,-0.00727,2.55404,0.123369,0.626449,-1.84086,4.963876,""
EOSS-324,KC0D-15,2022-04-09T07:18:16.525,2022-04-09T13:18:15.000,6791.0,2069.9,1100.0,92.0,ascending,true,/131815h3936.50N/10401.94WO090/021/A=006791 EOSS BALLOON,"KC0D-15>APZEOS,EOSS,qAO,W0ARP-1:/131815h3936.50N/10401.94WO090/021/A=006791 EOSS BALLOON",90.0,24.0,38.6,39.608333333333334,-104.03233333333333,0.48,0.77,,,,,,,,0.00011667,-0.00002222,18.33333333,5.588,high Re,0.027778,13.013542,-0.016744,8.049768,0.370634,0.660863,0.120124,18.477763,0.008433,3.966645,-0.005027,2.453657,0.112776,0.660791,0.119352,5.632543,""
EOSS-324,KC0D-15,2022-04-09T07:18:46.517,2022-04-09T13:18:45.000,7364.0,2244.55,1146.0,122.0,ascending,true,/131845h3936.46N/10401.74WO134/022/A=007364 EOSS BALLOON,"KC0D-15>APZEOS,EOSS,qAO,W0ARP-1:/131845h3936.46N/10401.74WO134/022/A=007364 EOSS BALLOON",134.0,25.0,40.2,39.60766666666667,-104.029,0.66,1.06,,,,,,,,0.00011111,-0.00002222,19.1,5.82166667,high Re,0.025556,13.689815,-0.011457,7.798399,0.343467,0.693756,0.107763,20.522557,0.007789,4.172759,-0.003425,2.37702,0.104508,0.693687,0.107303,6.255761,""
EOSS-324,KE0BMV-11,2022-04-09T07:19:03.910,2022-04-09T13:18:58.000,7672.0,2338.43,1158.2,135.0,ascending,true,/131858h3936.41N/10401.66WO122/017/A=007672 08.1V 96F HDOP00.9 SATS09 EOSS Balloon Beacon,"KE0BMV-11>APOT30,WIDE2-1,qAO,N6BA-10:/131858h3936.41N/10401.66WO122/017/A=007672 08.1V 96F HDOP00.9 SATS09 EOSS Balloon Beacon",122.0,20.0,32.2,39.606833333333334,-104.02766666666666,0.73,1.17,,,,,,,,0.00010859,-0.0000303,19.3030303,5.88363636,high Re,0.003076,14.251136,-0.009842,7.563638,0.32132,0.667919,0.040203,21.185729,0.000939,4.343846,-0.00294,2.305457,0.09777,0.667889,0.039675,6.457851,""
