flightid,callsign,receivetime,packettime,altitude_ft,altitude_m,vert_rate_ftmin,elapsed_secs,flight_phase,position_packet,info,raw,bearing,speed_mph,speed_kph,latitude,longitude,distance_from_launch_mi,distance_from_launch_km,temperature_f,temperature_c,temperature_k,pressure_pa,pressure_atm,airdensity_slugs,airdensity_kgm3,velocity_x_degs,velocity_y_degs,velocity_z_fts,velocity_z_ms,airflow,acceleration_fts2,velocity_mean_fts,acceleration_mean_fts2,velocity_std_fts,acceleration_std_fts2,velocity_norm_fts,acceleration_norm_fts2,velocity_curvefit_fts,acceleration_ms2,velocity_mean_ms,acceleration_mean_ms2,velocity_std_ms,acceleration_std_ms2,velocity_norm_ms,acceleration_norm_ms2,velocity_curvefit_ms,reynolds_transition
EOSS-298,AE0SS-12,2020-03-15T08:49:31.645,2020-03-15T14:49:30.000,4948.0,1508.15,6.0,0.0,ascending,true,/144930h4028.41N/10457.76WO000/000EOSS Balloon www.eoss.org/A=004948!W58!,"AE0SS-12>APTT4,EOSS,qAO,N2XGL-12:/144930h4028.41N/10457.76WO000/000EOSS Balloon www.eoss.org/A=004948!W58!",0.0,0.0,0.0,40.47358333333334,-104.9628,0.0,0.0,,,,,,,,0.0,-2.8e-7,0.1,0.0305,high Re,,0.1,,,,,,3.621795,,0.0305,,,,,,1.103946,""
EOSS-298,KC0D-14,2020-03-15T08:50:02.233,2020-03-15T14:50:00.000,5198.0,1584.35,516.0,30.0,ascending,true,/145000h4028.42N/10457.76WO161/002/A=005198 In Memory K0YUK(SK) EOSS Original Balloonmeister,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,N2XGL-12:/145000h4028.42N/10457.76WO161/002/A=005198 In Memory K0YUK(SK) EOSS Original Balloonmeister",161.0,2.0,3.2,40.47366666666667,-104.96266666666666,0.01,0.02,,,,,,,,0.0,0.0,8.6,2.62133333,high Re,0.283333,4.35,0.283333,6.010408,,0.707107,,7.444343,0.086361,1.325917,0.086361,1.831996,,0.707107,,2.269051,""
EOSS-298,AE0SS-12,2020-03-15T08:50:02.202,2020-03-15T14:50:00.000,5033.0,1534.06,170.0,30.0,ascending,true,/145000h4028.41N/10457.77WO076/003EOSS Balloon www.eoss.org/A=005033!W00!,"AE0SS-12>APTT4,EOSS,qAO,N2XGL-12:/145000h4028.41N/10457.77WO076/003EOSS Balloon www.eoss.org/A=005033!W00!",76.0,3.0,4.8,40.4735,-104.96283333333334,0.01,0.02,,,,,,,,-1.11e-6,-2.78e-6,2.83333333,0.86366667,high Re,-0.192222,3.844444,0.045556,4.339269,0.336268,-0.233014,-0.707109,5.012894,-0.058589,1.171833,0.013886,1.322622,0.102495,-0.232997,-0.707108,1.527982,""
EOSS-298,KC0D-14,2020-03-15T08:50:32.397,2020-03-15T14:50:30.000,5722.0,1744.07,1048.0,60.0,ascending,true,/145030h4028.41N/10457.77WO279/003/A=005722 In Memory K0YUK(SK) EOSS Original Balloonmeister,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,N2XGL-12:/145030h4028.41N/10457.77WO279/003/A=005722 In Memory K0YUK(SK) EOSS Original Balloonmeister",279.0,3.0,4.8,40.4735,-104.96283333333334,0.01,0.02,,,,,,,,-5.56e-6,-5.56e-6,17.46666667,5.324,high Re,0.487778,7.25,0.192963,7.677504,0.348891,1.330728,0.845006,13.167421,0.148678,2.209875,0.058817,2.340158,0.106343,1.330733,0.845011,4.013476,""
EOSS-298,AE0SS-12,2020-03-15T08:50:31.819,2020-03-15T14:50:30.000,5601.0,1707.18,1136.0,60.0,ascending,true,/145030h4028.40N/10457.76WO300/004EOSS Balloon www.eoss.org/A=005601!W94!,"AE0SS-12>APTT4,EOSS,qAR,W0ARP:/145030h4028.40N/10457.76WO300/004EOSS Balloon www.eoss.org/A=005601!W94!",300.0,5.0,8.0,40.473483333333334,-104.96273333333333,0.01,0.02,,,,,,,,3.33e-6,-5.6e-7,18.93333333,5.77066667,high Re,0.048889,9.586667,0.156945,8.456247,0.293836,1.105297,-0.367743,12.083392,0.014889,2.922033,0.047835,2.577422,0.089564,1.105226,-0.367849,3.682983,""
EOSS-298,KC0D-14,2020-03-15T08:51:02.470,2020-03-15T14:51:00.000,6129.0,1868.12,814.0,90.0,ascending,true,/145100h4028.44N/10457.77WO024/008/A=006129 In Memory K0YUK(SK) EOSS Original Balloonmeister,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,N2XGL-12:/145100h4028.44N/10457.77WO024/008/A=006129 In Memory K0YUK(SK) EOSS Original Balloonmeister",24.0,9.0,14.5,40.474,-104.96283333333334,0.03,0.05,,,,,,,,0.0,0.00001667,13.56666667,4.135,high Re,-0.178889,10.25,0.089778,7.736056,0.295485,0.428728,-0.909241,15.970492,-0.054522,3.124194,0.027363,2.357901,0.090065,0.428689,-0.909177,4.867813,""
EOSS-298,AE0SS-12,2020-03-15T08:51:01.787,2020-03-15T14:51:00.000,6034.0,1839.16,866.0,90.0,ascending,true,/145100h4028.44N/10457.76WO018/009EOSS Balloon www.eoss.org/A=006034!W05!,"AE0SS-12>APTT4,EOSS,qAO,KB0TVJ-1:/145100h4028.44N/10457.76WO018/009EOSS Balloon www.eoss.org/A=006034!W05!",18.0,10.0,16.1,40.474,-104.96275,0.03,0.05,,,,,,,,-5.6e-7,0.00001722,14.43333333,4.39933333,high Re,0.028889,10.847619,0.07963,7.236862,0.265456,0.495479,-0.191147,15.42084,0.008811,3.306357,0.024271,2.205757,0.080912,0.495511,-0.191072,4.700256,""
EOSS-298,AE0SS-12,2020-03-15T08:51:31.756,2020-03-15T14:51:30.000,6540.0,1993.39,1012.0,120.0,ascending,true,/145130h4028.49N/10457.77WO038/005EOSS Balloon www.eoss.org/A=006540!W77!,"AE0SS-12>APTT4,EOSS,qAO,KB0TVJ-1:/145130h4028.49N/10457.77WO038/005EOSS Balloon www.eoss.org/A=006540!W77!",38.0,6.0,9.7,40.47495,-104.96295,0.09,0.14,,,,,,,,-6.67e-6,0.00003167,16.86666667,5.141,high Re,0.081111,11.6,0.079841,7.029868,0.242328,0.749184,0.005241,17.750658,0.024722,3.535688,0.024336,2.142674,0.073862,0.74921,0.005226,5.410393,""
EOSS-298,KC0D-14,2020-03-15T08:52:02.423,2020-03-15T14:52:00.000,7139.0,2175.97,1010.0,150.0,ascending,true,/145200h4028.54N/10457.78WO349/002/A=007139 In Memory K0YUK(SK) EOSS Original Balloonmeister,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,N2XGL-12:/145200h4028.54N/10457.78WO349/002/A=007139 In Memory K0YUK(SK) EOSS Original Balloonmeister",349.0,2.0,3.2,40.47566666666667,-104.963,0.14,0.23,,,,,,,,-2.78e-6,0.00002778,16.83333333,5.13083333,high Re,-0.000556,12.181481,0.069792,6.80329,0.226146,0.683765,-0.311073,19.045564,-0.000169,3.712926,0.021273,2.073618,0.06893,0.683784,-0.311069,5.805088,""
EOSS-298,KC0D-14,2020-03-15T08:52:32.394,2020-03-15T14:52:30.000,7740.0,2359.15,1202.0,180.0,ascending,true,/145230h4028.61N/10457.79WO354/011/A=007740 In Memory K0YUK(SK) EOSS Original Balloonmeister,"KC0D-14>APZEOS,EOSS,WIDE2-1,qAO,N6BA-10:/145230h4028.61N/10457.79WO354/011/A=007740 In Memory K0YUK(SK) EOSS Original Balloonmeister",354.0,13.0,20.9,40.47683333333333,-104.96316666666667,0.23,0.37,,,,,,,,-5.56e-6,0.00003889,20.03333333,6.106,high Re,0.106667,12.966667,0.073889,6.87802,0.211897,1.027427,0.154688,19.390441,0.032506,3.952233,0.022521,2.096379,0.064586,1.027375,0.1546,5.910204,""
