flightid,callsign,receivetime,packettime,altitude_ft,altitude_m,vert_rate_ftmin,elapsed_secs,flight_phase,position_packet,info,raw,bearing,speed_mph,speed_kph,latitude,longitude,distance_from_launch_mi,distance_from_launch_km,temperature_f,temperature_c,temperature_k,pressure_pa,pressure_atm,airdensity_slugs,airdensity_kgm3,velocity_x_degs,velocity_y_degs,velocity_z_fts,velocity_z_ms,airflow,acceleration_fts2,velocity_mean_fts,acceleration_mean_fts2,velocity_std_fts,acceleration_std_fts2,velocity_norm_fts,acceleration_norm_fts2,velocity_curvefit_fts,acceleration_ms2,velocity_mean_ms,acceleration_mean_ms2,velocity_std_ms,acceleration_std_ms2,velocity_norm_ms,acceleration_norm_ms2,velocity_curvefit_ms,reynolds_transition
EOSS-328,KC0D-15,2022-07-30T07:38:46.894,2022-07-30T13:38:45.000,5640.0,1719.07,-70.0,0.0,ascending,true,/133845h3916.69N/10329.73WO136/000/A=005640 EOSS BALLOON,"KC0D-15>APZEOS,EOSS,qAO,KC0L-10:/133845h3916.69N/10329.73WO136/000/A=005640 EOSS BALLOON",136.0,0.0,0.0,39.278166666666664,-103.4955,0.0,0.0,,,,,,,,5.56e-6,0.0,-1.16666667,-0.35566667,high Re,,-1.166667,,,,,,3.227366,,-0.355667,,,,,,0.98362,""
EOSS-328,KE0BMV-11,2022-07-30T07:39:16.960,2022-07-30T13:38:50.000,5580.0,1700.78,7.2,5.0,ascending,true,/133850h3916.67N/10329.73WO053/000/A=005580 07.9V 108F HDOP00.9 SATS09 EOSS Balloon Beacon,"KE0BMV-11>APOT30,WIDE2-1,qAO,N2XGL-12:/133850h3916.67N/10329.73WO053/000/A=005580 07.9V 108F HDOP00.9 SATS09 EOSS Balloon Beacon",53.0,0.0,0.0,39.277833333333334,-103.4955,0.02,0.03,,,,,,,,0.0,0.0,0.12,0.0364,high Re,0.051467,-0.523333,0.051467,0.909811,,0.707106,,2.064471,0.015683,-0.159633,0.015683,0.277233,,0.707106,,0.629118,""
EOSS-328,KC0D-15,2022-07-30T07:39:16.701,2022-07-30T13:39:15.000,5830.0,1776.98,380.0,30.0,ascending,true,/133915h3916.73N/10329.72WO024/015/A=005830 EOSS BALLOON,"KC0D-15>APZEOS,EOSS,qAO,W9CN-9:/133915h3916.73N/10329.72WO024/015/A=005830 EOSS BALLOON",24.0,17.0,27.4,39.27883333333333,-103.49533333333333,0.05,0.08,,,,,,,,5.56e-6,0.00002222,6.33333333,1.93033333,high Re,0.207111,1.762222,0.129289,4.010632,0.110057,1.139748,0.707106,6.606141,0.063131,0.537022,0.039407,1.222463,0.033551,1.139757,0.707103,2.013473,""
EOSS-328,KE0BMV-11,2022-07-30T07:39:42.252,2022-07-30T13:39:16.000,5803.0,1768.75,514.6,31.0,ascending,true,/133916h3916.73N/10329.71WO018/017/A=005803 07.8V 116F HDOP00.9 SATS09 EOSS Balloon Beacon,"KE0BMV-11>APOT30,WIDE2-1,qAO,N6BA-9:/133916h3916.73N/10329.71WO018/017/A=005803 07.8V 116F HDOP00.9 SATS09 EOSS Balloon Beacon",18.0,20.0,32.2,39.27883333333333,-103.49516666666666,0.05,0.08,,,,,,,,0.00001282,0.00003846,8.57692308,2.61423077,high Re,0.086292,3.465897,0.114957,4.725832,0.081685,1.081508,-0.350921,6.15306,0.026304,1.056324,0.035039,1.440478,0.024901,1.081521,-0.350789,1.875362,""
EOSS-328,KC0D-15,2022-07-30T07:39:46.725,2022-07-30T13:39:45.000,6500.0,1981.2,1340.0,60.0,ascending,true,/133945h3916.87N/10329.65WO000/016/A=006500 EOSS BALLOON,"KC0D-15>APZEOS,EOSS,qAO,W0ARP-2:/133945h3916.87N/10329.65WO000/016/A=006500 EOSS BALLOON",0.0,18.0,29.0,39.281166666666664,-103.49416666666667,0.22,0.35,,,,,,,,0.00003889,0.00007778,22.33333333,6.80733333,high Re,0.458547,7.239385,0.200854,9.37796,0.184288,1.609513,1.398317,15.380724,0.13977,2.206526,0.061222,2.858505,0.056174,1.609515,1.398298,4.688111,""
EOSS-328,KE0BMV-11,2022-07-30T07:40:11.783,2022-07-30T13:39:59.000,6879.0,2096.72,1501.4,74.0,ascending,true,/133959h3916.94N/10329.59WO039/025/A=006879 07.9V 110F HDOP00.8 SATS10 EOSS Balloon Beacon,"KE0BMV-11>APOT30,WIDE2-1,qAO,KC0L-10:/133959h3916.94N/10329.59WO039/025/A=006879 07.9V 110F HDOP00.8 SATS10 EOSS Balloon Beacon",39.0,29.0,46.7,39.282333333333334,-103.49316666666667,0.31,0.5,,,,,,,,0.00004651,0.0000814,25.02325581,7.6272093,high Re,0.062556,10.203363,0.173195,11.093598,0.171163,1.335896,-0.646396,18.619832,0.019067,3.109973,0.052791,3.381441,0.052173,1.335891,-0.646388,5.675425,""
EOSS-328,KC0D-15,2022-07-30T07:40:16.754,2022-07-30T13:40:15.000,7210.0,2197.61,1420.0,90.0,ascending,true,/134015h3917.02N/10329.54WO236/012/A=007210 EOSS BALLOON,"KC0D-15>APZEOS,EOSS,qAO,W0ARP-2:/134015h3917.02N/10329.54WO236/012/A=007210 EOSS BALLOON",236.0,14.0,22.5,39.28366666666667,-103.49233333333333,0.42,0.68,,,,,,,,0.00006111,0.00008333,23.66666667,7.21366667,high Re,-0.04522,12.126692,0.136792,11.333621,0.177167,1.018207,-1.027347,20.675053,-0.013785,3.696215,0.041695,3.454593,0.054003,1.018196,-1.02735,6.301878,""
EOSS-328,KE0BMV-11,2022-07-30T07:40:41.891,2022-07-30T13:40:23.000,7384.0,2250.64,1262.5,98.0,ascending,true,/134023h3917.02N/10329.53WO074/000/A=007384 07.9V 109F HDOP00.8 SATS10 EOSS Balloon Beacon,"KE0BMV-11>APOT30,WIDE2-1,qAO,N2XGL-12:/134023h3917.02N/10329.53WO074/000/A=007384 07.9V 109F HDOP00.8 SATS10 EOSS Balloon Beacon",74.0,0.0,0.0,39.28366666666667,-103.49216666666666,0.42,0.68,,,,,,,,0.00004167,0.00005556,21.04166667,6.41333333,high Re,-0.109375,13.241064,0.101625,10.956068,0.186584,0.711989,-1.130858,21.51546,-0.033347,4.035855,0.030975,3.339486,0.056875,0.711929,-1.130936,6.558016,""
EOSS-328,KE0BMV-11,2022-07-30T07:41:07.077,2022-07-30T13:40:25.000,7411.0,2258.87,810.0,100.0,ascending,true,/134025h3917.02N/10329.53WO074/000/A=007411 08.0V 116F HDOP00.8 SATS10 EOSS Balloon Beacon,"KE0BMV-11>APOT30,WIDE2-1,qAO,N6BA-9:/134025h3917.02N/10329.53WO074/000/A=007411 08.0V 116F HDOP00.8 SATS10 EOSS Balloon Beacon",74.0,0.0,0.0,39.28366666666667,-103.49216666666666,0.42,0.68,,,,,,,,0.0,0.0,13.5,4.115,high Re,-3.770833,13.269835,-0.382432,10.248827,1.379975,0.022458,-2.455408,21.632692,-1.149167,4.044649,-0.116543,3.123914,0.420553,0.02252,-2.455396,6.593751,""
EOSS-328,KC0D-15,2022-07-30T07:40:46.693,2022-07-30T13:40:45.000,7856.0,2394.51,1292.0,120.0,ascending,true,/134045h3917.01N/10329.50WO132/012/A=007856 EOSS BALLOON,"KC0D-15>APZEOS,EOSS,qAO,W0ARP-2:/134045h3917.01N/10329.50WO132/012/A=007856 EOSS BALLOON",132.0,14.0,22.5,39.2835,-103.49166666666666,0.42,0.68,,,,,,,,0.00002222,-5.56e-6,21.53333333,6.56333333,high Re,0.267778,14.096185,-0.310186,10.009798,1.308918,0.742987,0.441559,23.12376,0.081611,4.296517,-0.094526,3.051049,0.398897,0.742963,0.44156,7.048255,""
EOSS-328,KC0D-15,2022-07-30T07:41:16.648,2022-07-30T13:41:15.000,8527.0,2599.03,1342.0,150.0,ascending,true,/134115h3916.96N/10329.43WO166/007/A=008527 EOSS BALLOON,"KC0D-15>APZEOS,EOSS,qAO,W0ARP-2:/134115h3916.96N/10329.43WO166/007/A=008527 EOSS BALLOON",166.0,8.0,12.9,39.282666666666664,-103.4905,0.41,0.66,,,,,,,,0.00003889,-0.00002778,22.36666667,6.81733333,high Re,0.027778,14.848047,-0.27639,9.818081,1.238679,0.765793,0.245558,24.169679,0.008467,4.525682,-0.084227,2.992607,0.377492,0.765771,0.245552,7.367054,""
EOSS-328,KE0BMV-11,2022-07-30T07:41:36.000,2022-07-30T13:41:31.000,8923.0,2719.73,1374.5,166.0,ascending,true,/134131h3916.92N/10329.40WO134/008/A=008923 07.9V 110F HDOP00.8 SATS10 EOSS Balloon Beacon,"KE0BMV-11>APOT30,WIDE2-1,qAO,KC0L-10:/134131h3916.92N/10329.40WO134/008/A=008923 07.9V 110F HDOP00.8 SATS10 EOSS Balloon Beacon",134.0,9.0,14.5,39.282,-103.49,0.4,0.64,,,,,,,,0.00003283,-0.00002525,22.90909091,6.98272727,high Re,0.008219,15.5198,-0.250516,9.646066,1.178243,0.766042,0.219594,24.335571,0.002506,4.730436,-0.076342,2.940175,0.359074,0.76604,0.219587,7.417617,""
EOSS-328,KC0D-15,2022-07-30T07:41:46.706,2022-07-30T13:41:45.000,9215.0,2808.73,1376.0,180.0,ascending,true,/134145h3916.90N/10329.36WO090/009/A=009215 EOSS BALLOON,"KC0D-15>APZEOS,EOSS,qAO,W0ARP-2:/134145h3916.90N/10329.36WO090/009/A=009215 EOSS BALLOON",90.0,10.0,16.1,39.281666666666666,-103.48933333333333,0.41,0.66,,,,,,,,0.00003889,-0.00003333,22.93333333,6.99,high Re,0.000808,16.090072,-0.229573,9.461524,1.125751,0.723273,0.204646,24.318945,0.000242,4.904249,-0.06996,2.883918,0.343076,0.723235,0.204625,7.412549,""
EOSS-328,KE0BMV-11,2022-07-30T07:42:06.083,2022-07-30T13:41:55.000,9490.0,2892.55,1417.5,190.0,ascending,true,/134155h3916.87N/10329.32WO151/012/A=009490 07.9V 110F HDOP00.8 SATS10 EOSS Balloon Beacon,"KE0BMV-11>APOT30,WIDE2-1,qAO,N2XGL-12:/134155h3916.87N/10329.32WO151/012/A=009490 07.9V 110F HDOP00.8 SATS10 EOSS Balloon Beacon",151.0,14.0,22.5,39.281166666666664,-103.48866666666666,0.42,0.68,,,,,,,,0.00005556,-0.00003472,23.625,7.20083333,high Re,0.028819,16.628281,-0.209696,9.310726,1.080204,0.751469,0.220806,24.22806,0.008785,5.068291,-0.063903,2.837949,0.329196,0.751438,0.220805,7.384846,""
